objectid,title,NAME_2,description,FIND_ADDRESS,BUILD_NAME,BUILD_NAME_2,ROOM,EARLY_DATE,LATE_DATE,STYLE,identifer,PPM_ID,STILL_EXIST,GENRE,subject,THEMES,MAYBE_SUBJECT,format,filename
coll1,Sacrifice of Iphigenia,Iphigenia in Aulis,Sacrifice of Iphigenia as she is carried by Odysseus and Diomedes. Agamemnon watches from th side as the priest Calchas covers his face.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9112,,1,Genre,Iphigenia; Calchas; Agamemnon; Odysessus; Diomedes,Trojan War,,image/jpeg,https://artsandculture.google.com/asset/sacrifice-of-iphigenia/TAGoLthGlgRX-w?hl=en
2,Hera and Zeus,Hierogamy,Marriage of a veiled Hera to a seated Zeus on Mount Ida.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9559,,1,Genre,Hera; Zeus; Hypnos,,,image/jpeg,https://artsandculture.google.com/asset/hierogamy/jgG5yWZge4TjLg?hl=en
3,Briseis and Achilles,,Achilles surrendering Briseis to Agamemnon. ,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9105,,1,Genre,Briseis; Achilles,Trojan War,Agamemnon,image/jpeg,"https://commons.wikimedia.org/wiki/File:Achille_costretto_a_cedere_briseide_a_ad_agamennone,_9105,_01.JPG"
4,Helen (and Paris?),,Helen of Sparta boards the ship to Troy.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9108,,1,Genre,Helen,Trojan War,Paris,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG
5,Alcestis and Admetus,,A messenger reads a prophecy to Admetus and Alcestis telling Admetus that he will die unless someone takes his place.,VI.8.3,House of the Tragic Poet,,8,45,79,4,MANN 9027,,1,Genre,Alcestis; Admetus,,,image/jpeg,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg
6,Europa on the bull,,Europa seated on the bull--actually Zeus in disguise--before she is carried off to Crete.,IX.5.18,House of Jason,House of the Fatal Loves,f,n20,n25,3,MANN 111475,,1,Genre,Europa,,,image/jpeg,https://artsandculture.google.com/asset/europe-on-the-bull/EQGYZ8ZXK1n_mA?hl=en
7,Medea,,"Medea with her children, Mermerus and Pheres (?).",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114321,,1,Genre,Medea,,Mermerus; Pheres,image/jpeg,https://artsandculture.google.com/asset/medea/dAHpnlqFGIzZ9A?hl=en
8,Phaedra with attendant,,Phaedra seated with an attendant reading a letter.,IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114322,,1,Genre,Phaedra,,,image/jpeg,https://artsandculture.google.com/asset/phaedra-with-attendant/lwGRi9Jv17BJjA?hl=en
9,Paris and Helen,,"Seated Helen, with Paris standing in the doorway.",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114320,,1,Genre,Helen; Paris,Trojan War,,image/jpeg,https://artsandculture.google.com/asset/paris-and-helen/5QFMxqXMmAdtww?hl=en
10,Hercules and Nessus,,"Hercules, carrying his son Hyllus,  and Deianira meet the centaur Nessus at the river. ",VI.9.5,House of Centaur,Casa di A. Vettius Caprasius Felix,26,30,45,,MANN 9001,,1,Genre,Hercules; Nessus; Hyllus; Deianira,,,image/jpeg,https://artsandculture.google.com/asset/hercules-and-nessus/GgGbhDXYMV_ncA?hl=en
