objectid,title,description,identifer,subject,display_template,object_location
obj_001,Sacrifice of Iphigenia,Sacrifice of Iphigenia as she is carried by Odysseus and Diomedes. Agamemnon watches from th side as the priest Calchas covers his face.,MANN 9112,Iphigenia; Calchas; Agamemnon; Odysessus; Diomedes,image,https://artsandculture.google.com/asset/sacrifice-of-iphigenia/TAGoLthGlgRX-w?hl=en
obj_002,Hera and Zeus,Marriage of a veiled Hera to a seated Zeus on Mount Ida.,MANN 9559,Hera; Zeus; Hypnos,image,https://artsandculture.google.com/asset/hierogamy/jgG5yWZge4TjLg?hl=en
obj_003,Briseis and Achilles,Achilles surrendering Briseis to Agamemnon. ,MANN 9105,Briseis; Achilles,image,"https://commons.wikimedia.org/wiki/File:Achille_costretto_a_cedere_briseide_a_ad_agamennone,_9105,_01.JPG"
obj_004,Helen (and Paris?),Helen of Sparta boards the ship to Troy.,MANN 9108,Helen,image,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG
obj_005,Alcestis and Admetus,A messenger reads a prophecy to Admetus and Alcestis telling Admetus that he will die unless someone takes his place.,MANN 9027,Alcestis; Admetus,image,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg
obj_006,Europa on the bull,Europa seated on the bull--actually Zeus in disguise--before she is carried off to Crete.,MANN 111475,Europa,image,https://artsandculture.google.com/asset/europe-on-the-bull/EQGYZ8ZXK1n_mA?hl=en
obj_007,Medea,"Medea with her children, Mermerus and Pheres (?).",MANN 114321,Medea,image,https://artsandculture.google.com/asset/medea/dAHpnlqFGIzZ9A?hl=en
obj_008,Phaedra with attendant,Phaedra seated with an attendant reading a letter.,MANN 114322,Phaedra,image,https://artsandculture.google.com/asset/phaedra-with-attendant/lwGRi9Jv17BJjA?hl=en
obj_009,Paris and Helen,"Seated Helen, with Paris standing in the doorway.",MANN 114320,Helen; Paris,image,https://artsandculture.google.com/asset/paris-and-helen/5QFMxqXMmAdtww?hl=en
obj_010,Hercules and Nessus,"Hercules, carrying his son Hyllus,  and Deianira meet the centaur Nessus at the river. ",MANN 9001,Hercules; Nessus; Hyllus; Deianira,image,https://artsandculture.google.com/asset/hercules-and-nessus/GgGbhDXYMV_ncA?hl=en
obj_011,Meleager and Atalanta,Seated Meleager with Atalanta after killing the Calydonian boar.,MANN 8980,Meleager; Atalanta; Calydonian Boar,image,https://upload.wikimedia.org/wikipedia/commons/a/ac/Fresco_with_Meleager_%26_Atalanta_%2849346045733%29.jpg
obj_012,Perseus and Andromeda,Perseus freeing Andromeda from the cliff.,MANN 8998,Perseus; Andromeda; Medusa,image,https://artsandculture.google.com/asset/perseus-and-andromeda/eQHHJxSe0KSEbQ?hl=en
obj_013,Selene and Endymion,Seated Endymion with a flying Selene.,MANN 9240,Selene; Endymion,image,https://upload.wikimedia.org/wikipedia/commons/2/21/Selene_Endymion_MAN_Napoli_Inv9240.jpg
obj_014,Selene and Endymion,,IN SITU,Selene; Endymion,image,https://upload.wikimedia.org/wikipedia/commons/d/d6/Selene_and_Endymion%2C_fresco_from_Pompeii%2C_Casa_dell%27Ara_Massima.jpg
obj_015,Theseus the liberator,Theseus liberating the people of Athens from the tribute imposed on them by Crete. The slain Minotaur is featured. ,MANN 9043,Theseus; Minotaur,image,https://artsandculture.google.com/asset/theseus-the-liberator/FwH6d02gskU2gA?hl=en
obj_016,Io and Argus,"Seated Io after she was transformed into a heifer by Zeus. She is watched over by her jailer, Argus.",MANN 9556,Io; Argus,image,https://artsandculture.google.com/asset/io-and-argo/PAHRRSAAa_D9Zg?hl=en
obj_017,Mars and Venus,Reclining nude Venus with seated Mars.,MANN 9250,Mars; Venus,image,https://upload.wikimedia.org/wikipedia/commons/8/87/Fragment_of_wall_painting_depicting_Mars_and_Venus%2C_from_the_House_of_Meleager_in_Pompeii%2C_Naples_National_Archaeological_Museum_%2817136444089%29.jpg
obj_018,Atalanta and Cupid,Seated Atalanta with cupid.,MANN 8897,Atalanta; Cupid,image,http://pompeiiinpictures.com/pompeiiinpictures/R6/6%2009%2002%20part%201_files/image052.jpg
obj_019,Abandoned Dido on throne,"Seated Dido after being abandoned by Aeneas, surrounded by maids or personifications of the continents. Aeneas' ship sails away in the background.",MANN 8898,Dido,image,https://upload.wikimedia.org/wikipedia/commons/1/1a/Dido_Abandoned%2C_from_Pompeii_VI.9.2_%28House_of_Meleager%29%2C_atrium._Naples%2C_Archaeological_Museum_8898_-_01.jpg
obj_020,Daedalus and Pasiphae,Daedalus presenting Pasiphae with the wooden bull.,MANN 8979,Daedalus; Pasiphae,image,https://artsandculture.google.com/asset/daedalus-and-pasiphae/JgFIuewuwg_12A?hl=en
obj_021,Ariadne being abandoned by Theseus,Theseus abandoning Ariadne as he sails on his ship. Cupid watches over Ariadne.,IN SITU,Ariadne; Theseus; Cupid,image,https://upload.wikimedia.org/wikipedia/commons/9/9c/House_of_the_Vettii_VI_15%2C1_Pompeii_2018_Central_wall_painting_from_north_wall_of_bedroom_on_left_of_main_entrance%2C_Ariadne_being_abandoned_by_Theseus_courtesy_of_Aude_Durand.jpg
obj_022,Leander and Hero,Leander swimming towards Hero in her tower.,IN SITU,Leander; Hero,image,https://upload.wikimedia.org/wikipedia/commons/c/ca/House_of_the_Vettii_VI_15%2C1_Pompeii_2017_South_wall_of_bedroom_on_left_of_main_entrance%2C_with_painting_of_Leander_swimming_towards_his_beloved_Hero_in_her_tower_courtesy_of_Buzz_Ferebee.jpg
obj_023,Hercules strangling the serpents,"Baby Hercules strangling the serpents with his parents, Alcmene and Amphitryon.",IN SITU,Hercules; Alcmene; Amphitryon,image,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hercules_strangling_the_serpents%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_triclinium_n%2C_north_wall.jpg
obj_024,Death of Pentheus,Death of Pentheus by the Maenads.,IN SITU,Pentheus; Maenads,image,https://upload.wikimedia.org/wikipedia/commons/c/c1/Pompeii_-_Casa_dei_Vettii_-_Pentheus.jpg
obj_025,Punishment of Dirce,Punishment of Dirce by Amphion and Zethos.,IN SITU,Dirce; Amphion; Zethos,image,https://upload.wikimedia.org/wikipedia/commons/c/c3/Zetoyanfion.jpg
obj_026,Metamorphosis of Cyparissus,Metamorphosis of Cyparisuss with maid looking on.,IN SITU,Cyparisuss,image,https://upload.wikimedia.org/wikipedia/commons/5/59/Fresco_depicting_the_metamorphosis_of_Cyparissus%2C_House_of_the_Vettii%2C_Pompeii.jpg
obj_027,Dionysus and Ariadne with Eros and Pan,Dionysus and Ariadne with the fight between Eros and Pan.,IN SITU,Dionysus; Ariadne; Eros; Pan,image,https://upload.wikimedia.org/wikipedia/commons/8/82/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_wall_painting_on_south_wall_showing_Dionysus_and_Ariadne%2C_as_well_as_the_fight_between_Eros_and_Pann_courtesy_of_Johannes_Eber.jpg
obj_028,Daedalus and Pasiphae,Daedalus showing Pasiphae the wooden cow.,IN SITU,Daedalus; Pasiphae,image,https://upload.wikimedia.org/wikipedia/commons/7/70/House_of_the_Vettii_VI_15%2C1_Pompeii_2023_Central_painting_of_Daedalus_showing_Pasiphae_the_wooden_cow%2C_from_center_of_north_wall_of_exedra_p_%28Mau_plan%29_courtesy_of_Johannes_Eber.jpg
obj_029,Ixion on the wheel,"Torture of Ixion on the wheel, with Hephaestus, Hermes, and Hera presiding. Iris stands to Hera's left.",IN SITU,Ixion; Hephaestus; Hermes; Hera; Iris,image,https://upload.wikimedia.org/wikipedia/commons/5/57/Casa_dei_vettii%2C_vestibolo%2C_oechus_affrescato_sul_peristilio%2C_issione_legato_alla_ruota_da_vulcano_alla_presenza_di_giunone_01.jpg
obj_030,Dionysus watching over Ariadne,Dionysus watching over a sleeping  Ariadne after she is abandoned by Theseus. With Maenads and satyrs.,IN SITU,Dionysus; Ariadne; Maenads,image,https://upload.wikimedia.org/wikipedia/commons/d/dd/Bacchus_discovering_Ariadne%2C_Pompeii_VI.15.1_%28House_of_the_Vetti%29%2C_polychrome_exedra_p%2C_south_wall_-_01.jpg
obj_031,Theseus abandoning Ariadne,Theseus abandoning Ariadne on Naxos to board the ship that will carry him to Athens.,MANN 115396,Theseus; Ariadne,image,https://artsandculture.google.com/asset/theseus-and-ariadne/iwGGAygCkRzrMw?hl=en
obj_032,Punishment of Dirce,"Punishment of Dirce by  Antiope and her sons, Amphion and Zethos.",MANN 9042,"Dirce; Antiope, Amphion, Zethos",image,https://artsandculture.google.com/asset/punishment-of-dirce/AAGEIQL4kq-D_A?hl=en
obj_033,Perseus freeing Andromeda,Perseus freeing Andromeda from the cliff.,MANN 8997,Perseus; Andromeda; Medusa,image,https://artsandculture.google.com/asset/perseus-freeing-andromeda/QgGNdEynPeFxtA?hl=en
obj_034,Drunken Hercules with Omphale,Drunken Hercules with Omphale while cupids steal his club.,MANN 9000,Hercules; Omphale; Cupids,image,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hercules_and_Omphale%2C_from_Pompeii_VII_Ins_Occ_10._Naples%2C_Archaeological_Museum_9000.jpg
obj_035,Epiphany of Dionysus,Ariadne being discovered by Dionysus on Naxos while a cupid watches over her.,MANN 9278,Dionysus; Ariadne; Cupids,image,https://artsandculture.google.com/asset/epiphany-of-dionysus/_wF5MmONTgAHvQ?hl=en
obj_036,Ares and Aphrodite,Reclining nude Aphrodite with Ares and cupids.,MANN 9248,Ares; Aphrodite; Cupids,image,https://artsandculture.google.com/asset/ares-and-aphrodite/VQGiB6oeVovUzg?hl=en
obj_037,Narcissus,Seated Narcissus on a rock.,IN SITU,Narcissus,image,https://upload.wikimedia.org/wikipedia/commons/8/80/Narcissus%2C_Pompeii_VI.16.15_%28House_of_the_Ara_Maxima%29%2C_pseudo-tablinum_D%2C_west_wall_-_02.jpg
