objectid,title,description,identifier,subject,display_template
obj_001,Sacrifice of Iphigenia,Sacrifice of Iphigenia as she is carried by Odysseus and Diomedes. Agamemnon watches from th side as the priest Calchas covers his face.,MANN 9112,Iphigenia; Calchas; Agamemnon; Odysessus; Diomedes,image
obj_002,Hera and Zeus,Marriage of a veiled Hera to a seated Zeus on Mount Ida.,MANN 9559,Hera; Zeus; Hypnos,image
obj_003,Briseis and Achilles,Achilles surrendering Briseis to Agamemnon. ,MANN 9105,Briseis; Achilles,image
obj_004,Helen (and Paris?),Helen of Sparta boards the ship to Troy.,MANN 9108,Helen,image
obj_005,Alcestis and Admetus,A messenger reads a prophecy to Admetus and Alcestis telling Admetus that he will die unless someone takes his place.,MANN 9027,Alcestis; Admetus,image
obj_006,Europa on the bull,Europa seated on the bull--actually Zeus in disguise--before she is carried off to Crete.,MANN 111475,Europa,image
obj_007,Medea,"Medea with her children, Mermerus and Pheres (?).",MANN 114321,Medea,image
obj_008,Phaedra with attendant,Phaedra seated with an attendant reading a letter.,MANN 114322,Phaedra,image
obj_009,Paris and Helen,"Seated Helen, with Paris standing in the doorway.",MANN 114320,Helen; Paris,image
obj_010,Hercules and Nessus,"Hercules, carrying his son Hyllus,  and Deianira meet the centaur Nessus at the river. ",MANN 9001,Hercules; Nessus; Hyllus; Deianira,image
obj_011,Meleager and Atalanta,Seated Meleager with Atalanta after killing the Calydonian boar.,MANN 8980,Meleager; Atalanta; Calydonian Boar,image
obj_012,Perseus and Andromeda,Perseus freeing Andromeda from the cliff.,MANN 8998,Perseus; Andromeda; Medusa,image
obj_013,Selene and Endymion,Seated Endymion with a flying Selene.,MANN 9240,Selene; Endymion,image
obj_014,Selene and Endymion,,IN SITU,Selene; Endymion,image
obj_015,Theseus the liberator,Theseus liberating the people of Athens from the tribute imposed on them by Crete. The slain Minotaur is featured. ,MANN 9043,Theseus; Minotaur,image
obj_016,Io and Argus,"Seated Io after she was transformed into a heifer by Zeus. She is watched over by her jailer, Argus.",MANN 9556,Io; Argus,image
obj_017,Mars and Venus,Reclining nude Venus with seated Mars.,MANN 9250,Mars; Venus,image
obj_018,Atalanta and Cupid,Seated Atalanta with cupid.,MANN 8897,Atalanta; Cupid,image
obj_019,Abandoned Dido on throne,"Seated Dido after being abandoned by Aeneas, surrounded by maids or personifications of the continents. Aeneas' ship sails away in the background.",MANN 8898,Dido,image
obj_020,Daedalus and Pasiphae,Daedalus presenting Pasiphae with the wooden bull.,MANN 8979,Daedalus; Pasiphae,image
obj_021,Ariadne being abandoned by Theseus,Theseus abandoning Ariadne as he sails on his ship. Cupid watches over Ariadne.,IN SITU,Ariadne; Theseus; Cupid,image
obj_022,Leander and Hero,Leander swimming towards Hero in her tower.,IN SITU,Leander; Hero,image
obj_023,Hercules strangling the serpents,"Baby Hercules strangling the serpents with his parents, Alcmene and Amphitryon.",IN SITU,Hercules; Alcmene; Amphitryon,image
obj_024,Death of Pentheus,Death of Pentheus by the Maenads.,IN SITU,Pentheus; Maenads,image
obj_025,Punishment of Dirce,Punishment of Dirce by Amphion and Zethos.,IN SITU,Dirce; Amphion; Zethos,image
obj_026,Metamorphosis of Cyparissus,Metamorphosis of Cyparisuss with maid looking on.,IN SITU,Cyparisuss,image
obj_027,Dionysus and Ariadne with Eros and Pan,Dionysus and Ariadne with the fight between Eros and Pan.,IN SITU,Dionysus; Ariadne; Eros; Pan,image
obj_028,Daedalus and Pasiphae,Daedalus showing Pasiphae the wooden cow.,IN SITU,Daedalus; Pasiphae,image
obj_029,Ixion on the wheel,"Torture of Ixion on the wheel, with Hephaestus, Hermes, and Hera presiding. Iris stands to Hera's left.",IN SITU,Ixion; Hephaestus; Hermes; Hera; Iris,image
obj_030,Dionysus watching over Ariadne,Dionysus watching over a sleeping  Ariadne after she is abandoned by Theseus. With Maenads and satyrs.,IN SITU,Dionysus; Ariadne; Maenads,image
obj_031,Theseus abandoning Ariadne,Theseus abandoning Ariadne on Naxos to board the ship that will carry him to Athens.,MANN 115396,Theseus; Ariadne,image
obj_032,Punishment of Dirce,"Punishment of Dirce by  Antiope and her sons, Amphion and Zethos.",MANN 9042,"Dirce; Antiope, Amphion, Zethos",image
obj_033,Perseus freeing Andromeda,Perseus freeing Andromeda from the cliff.,MANN 8997,Perseus; Andromeda; Medusa,image
obj_034,Drunken Hercules with Omphale,Drunken Hercules with Omphale while cupids steal his club.,MANN 9000,Hercules; Omphale; Cupids,image
obj_035,Epiphany of Dionysus,Ariadne being discovered by Dionysus on Naxos while a cupid watches over her.,MANN 9278,Dionysus; Ariadne; Cupids,image
obj_036,Ares and Aphrodite,Reclining nude Aphrodite with Ares and cupids.,MANN 9248,Ares; Aphrodite; Cupids,image
obj_037,Narcissus,Seated Narcissus on a rock.,IN SITU,Narcissus,image
obj_038,Narcissus and Echo,Seated Narcissus on rock with Echo and cupids.,MANN 9380,Narcissus; Echo,image
